Date,symbol,adjusted,close,shares_held,year,month,mktcap,day
2014-12-01,AMZN,310.350006,310.350006,4780952,2014,12,1483768481.8857121,1
2015-01-01,AMZN,354.52999900000003,354.52999900000003,4780952,2015,1,1694990907.7790482,1
2015-02-01,AMZN,380.160004,380.160004,4780952,2015,2,1817526731.443808,1
2015-03-01,AMZN,372.100006,372.100006,4780952,2015,3,1778992267.8857121,1
2015-04-01,AMZN,421.77999900000003,421.77999900000003,4780952,2015,4,2016509929.7790482,1
2015-05-01,AMZN,429.23001100000005,429.23001100000005,4780952,2015,5,2052128079.5504723,1
2015-06-01,AMZN,434.089996,434.089996,4780952,2015,6,2075363434.556192,1
2015-07-01,AMZN,536.150024,536.150024,4780952,2015,7,2563307529.542848,1
2015-08-01,AMZN,512.8900150000001,512.8900150000001,4780952,2015,8,2452102542.9942803,1
2015-09-01,AMZN,511.89001500000006,511.89001500000006,4780952,2015,9,2447321590.9942803,1
2015-10-01,AMZN,625.900024,625.900024,4780952,2015,10,2992397971.542848,1
2015-11-01,AMZN,664.799988,664.799988,4780952,2015,11,3178376832.2285757,1
2015-12-01,AMZN,675.8900150000001,675.8900150000001,4780952,2015,12,3231397718.9942803,1
2016-01-01,AMZN,587.0,587.0,4780952,2016,1,2806418824.0,1
2016-02-01,AMZN,552.52002,552.52002,4780952,2016,2,2641571694.6590405,1
2016-03-01,AMZN,593.6400150000001,593.6400150000001,4780952,2016,3,2838164416.9942803,1
2016-04-01,AMZN,659.590027,659.590027,4780952,2016,4,3153468258.7657037,1
2016-05-01,AMZN,722.789978,722.789978,4780952,2016,5,3455624190.899056,1
2016-06-01,AMZN,715.619995,715.619995,4780952,2016,6,3421344846.33524,1
2016-07-01,AMZN,758.8099980000001,758.8099980000001,4780952,2016,7,3627834177.5580964,1
2016-08-01,AMZN,769.159973,769.159973,4780952,2016,8,3677316911.2342963,1
2016-09-01,AMZN,837.3099980000001,837.3099980000001,4780952,2016,9,4003138909.5580964,1
2016-10-01,AMZN,789.820007,789.820007,4780952,2016,10,3776091542.106664,1
2016-11-01,AMZN,750.570007,750.570007,4780952,2016,11,3588439176.106664,1
2016-12-01,AMZN,749.869995,749.869995,4780952,2016,12,3585092452.33524,1
2017-01-01,AMZN,823.47998,823.47998,4780952,2017,1,3937018257.3409595,1
2017-02-01,AMZN,845.0399779999999,845.0399779999999,4780952,2017,2,4040095572.8990555,1
